,شرکت
2,ساختمان اصفهان
10,بهساز کاشانه تهران
15,توسعه و عمران امید
41,نوسازی و ساختمان تهران
66,پالایش نفت تبریز
70,پالایش نفت لاوان
148,تامین سرمایه لوتوس پارسیان
149,تامین سرمایه نوین
170,سیمان آرتا اردبیل
172,سیمان ارومیه
176,سیمان بجنورد
179,سیمان خاش
186,سیمان ساوه
194,سیمان صوفیان
198,سیمان فارس نو
203,سیمان مازندران
206,سیمان هرمزگان
207,سیمان هگمتان
221,فجر انرژی خلیج فارس
369,قند لرستان
370,قند مرودشت
393,پارس سوئیچ
432,مخمل و ابریشم کاشان
457,لامیران
512,گلوکوزان
529,زر ماکارون
534,کشت و صنعت جوین
545,صنعت غذایی کورش
723,خاک چینی ایران
738,پرسیت
764,پتروشیمی شیراز
765,گسترش نفت و گاز پارسیان
780,دوده صنعتی پارس
815,پتروشیمی شازند
816,پتروشیمی غدیر
823,پلی پروپیلن جم
832,صنایع پتروشیمی کرمانشاه
843,پاکسان
927,س.ص. بازنشستگی کارکنان بانکها
1006,صنعت و تجارت آداک
1008,گروه توسعه مالی مهر آیندگان
1142,حمل و نقل توکا
1173,آهن و فولاد غدیر ایرانیان
1175,پارس فولاد سبزوار
1184,صنعتی سپاهان
1188,فروسیلیسیم خمین
1189,فولاد آلیاژی یزد
1191,فولاد امیرکبیر کاشان
1195,فولاد مبارکه اصفهان
1212,زرین معدن آسیا
1214,صنایع مس افق کرمان
1219,فولاد خوزستان
1221,فولادخراسان
1222,گسترش صنایع روی ایرانیان
1226,ملی صنایع مس ایران
1227,نورد آلومینیوم
1228,کالسیمین
1293,داروسازی دانا
